agenda_number,agenda_sequence,matter_file,matter_type,title
5-e,23,26-0330,Resolution,"Authorizing the sale, execution, and delivery of Utility Systems Revenue Obligations, Series 2026, not to exceed $341,000,000. (Citywide) Resolution No. 12487"
5-f,24,26-0310,Contract,"Approving and authorizing the City Manager or designee to purchase and contract with a qualified electric power supplier via a reverse auction for a firm electric power product to provide 12 Megawatts (MW) of off-peak summer supply between June and September 2026, not to exceed $90/MWh or $1,382,400 total cost. (Citywide) Resolution No. 12488"
6,25,,,"Introduction of the following ordinance and setting April 20, 2026 as the date of the public hearing on this ordinance:"
6-a,26,26-0235,Ordinance,"ZON25-00942 “Rio Salado 25” 3.1± acres located at the northwest corner of West Rio Salado Parkway and North Cubs Way. Rezone from General Commercial (GC) to General Commercial with a Bonus Intensity Zone Overlay (GC-BIZ), Council Use Permit (CUP), and Site Plan Review. This request will allow for the development of an approximately 54,725± square foot hotel and 36-unit multiple residence building. Rio Salado 25, LLC, Owner; Jonathan Boyd, Boyd Development, applicant. (District 3) Ordinance No. 6"
7,27,,,"Discuss, receive public comment, and take action on the following ordinances:"
7-a,28,26-0232,Ordinance,"ZON25-00774 ""Blue Sky Pest Control"", 2.4± acres located at the northwest corner of East Ray Road and South 71st Street. Major Site Plan Modification and amending Conditions of Approval No. 1 and No. 2 of Ordinance No. 5699. This request will allow for a 26,000± square foot industrial building. Ensign93, LLC, Owner; Vince Dalke, Dalke Design Group, applicant. (District 6) Ordinance No. 6005 Staff Recommendation: Approval with conditions P&Z Board Recommendation: Approval with conditions (Vote: 6-"
7-b,29,26-0233,Ordinance,"ZON25-00326 ""RMDC Dance Studio,"" 1± acres located approximately 350± feet east of the southeast corner of East Warner Road and South Mountain Road. Rezone from Limited Commercial (LC) to Limited Commercial with a Bonus Intensity Zone Overlay(LC-BIZ) and Site Plan Review to allow for the development of a 15,344± square foot commercial building. MMJM Ventures, LLC, Owner; Benjamin Haught, Red Rock Contractors, applicant. (District 6) Ordinance No. 6006 Staff Recommendation: Approval with condition"
,30,,,Items not on the Consent Agenda
8,31,26-0006,Public Hearing,Items from citizens present. (Maximum of three speakers for three minutes per speaker.)
9,32,,,Adjournment.¹
,33,,,"¹ Prior to adjournment, at this Council meeting, the City Council may vote to go into executive session for legal advice on any item listed on this agenda pursuant to A.R.S. §38-431.03(A)(3); this notice is given pursuant to A.R.S. §38-431.02 to the members of the City Council and the public."
